,name,album,artist,release_date,length,popularity,danceability,acousticness,danceability,energy,instrumentalness,liveness,loudness,speechiness,tempo,time_signature
0,shut up,Positions (Deluxe),Ariana Grande,2021-02-19,157710,58,0.499,0.801,0.499,0.462,0.0,0.0946,-5.308,0.0312,127.698,4
1,34+35,Positions (Deluxe),Ariana Grande,2021-02-19,173710,60,0.83,0.237,0.83,0.585,0.0,0.248,-6.476,0.094,109.978,4
2,motive (with Doja Cat),Positions (Deluxe),Ariana Grande,2021-02-19,167989,63,0.789,0.0681,0.789,0.742,0.0,0.166,-5.664,0.0652,116.965,4
3,just like magic,Positions (Deluxe),Ariana Grande,2021-02-19,149900,59,0.719,0.08,0.719,0.607,0.0,0.125,-5.156,0.165,128.006,4
4,off the table (with The Weeknd),Positions (Deluxe),Ariana Grande,2021-02-19,239949,58,0.411,0.519,0.411,0.522,0.0,0.398,-7.295,0.0981,88.332,1
5,six thirty,Positions (Deluxe),Ariana Grande,2021-02-19,183874,57,0.739,0.67,0.739,0.516,0.0,0.151,-7.154,0.0539,120.109,4
6,safety net (feat. Ty Dolla $ign),Positions (Deluxe),Ariana Grande,2021-02-19,208457,59,0.552,0.0703,0.552,0.599,0.0,0.0986,-5.75,0.0404,161.884,4
7,my hair,Positions (Deluxe),Ariana Grande,2021-02-19,158436,58,0.686,0.0815,0.686,0.526,7.75e-06,0.144,-6.842,0.0374,92.013,4
8,nasty,Positions (Deluxe),Ariana Grande,2021-02-19,200732,59,0.772,0.0814,0.772,0.506,1.1e-05,0.182,-6.558,0.139,127.894,4
9,west side,Positions (Deluxe),Ariana Grande,2021-02-19,132278,56,0.688,0.186,0.688,0.455,0.0,0.0794,-8.632,0.199,87.865,4
10,love language,Positions (Deluxe),Ariana Grande,2021-02-19,179860,57,0.688,0.0686,0.688,0.573,0.0,0.0749,-5.03,0.208,110.034,4
11,positions,Positions (Deluxe),Ariana Grande,2021-02-19,172324,60,0.737,0.468,0.737,0.802,0.0,0.0931,-4.771,0.0878,144.015,4
12,obvious,Positions (Deluxe),Ariana Grande,2021-02-19,146958,57,0.624,0.0967,0.624,0.672,0.0,0.155,-5.334,0.106,159.852,4
13,pov,Positions (Deluxe),Ariana Grande,2021-02-19,201882,60,0.487,0.36,0.487,0.534,0.0,0.1,-5.664,0.0555,131.798,4
14,someone like u - interlude,Positions (Deluxe),Ariana Grande,2021-02-19,76742,59,0.639,0.175,0.639,0.544,2.44e-05,0.14,-9.5,0.0383,118.158,4
15,test drive,Positions (Deluxe),Ariana Grande,2021-02-19,122174,70,0.698,0.0251,0.698,0.708,0.0,0.124,-4.943,0.0454,115.036,4
16,"34+35 Remix (feat. Doja Cat, Megan Thee Stallion) - Remix",Positions (Deluxe),Ariana Grande,2021-02-19,182437,70,0.659,0.211,0.659,0.662,0.0,0.228,-5.768,0.434,109.957,4
17,worst behavior,Positions (Deluxe),Ariana Grande,2021-02-19,124281,65,0.726,0.37,0.726,0.667,0.0,0.118,-5.956,0.0617,100.053,4
18,main thing,Positions (Deluxe),Ariana Grande,2021-02-19,129080,62,0.734,0.317,0.734,0.475,1.41e-06,0.113,-7.77,0.0403,134.119,4
19,imagine,"thank u, next",Ariana Grande,2019-02-08,212266,72,0.729,0.378,0.729,0.475,0.0,0.12,-4.985,0.0364,62.52,3
20,needy,"thank u, next",Ariana Grande,2019-02-08,171573,74,0.647,0.78,0.647,0.309,7.41e-06,0.202,-7.948,0.0366,87.045,4
21,NASA,"thank u, next",Ariana Grande,2019-02-08,182000,70,0.747,0.451,0.747,0.458,0.0,0.252,-6.891,0.303,75.029,4
